Season,GameID,UTCDate,GameName,Team1_FullName,Team2_FullName,GameID_DB
2018-2019,5b7b788aaeda71993978ac99,2019-01-06T15:30:00Z,NewBrunswick@MemorialCan,Memorial Sea-Hawks,New Brunswick Varsity Reds,W20190106MEMUNB
2018-2019,5b770b5a11ef0d110318523d,2019-01-06T00:00:00Z,Lethbridge@Saskatchewan,Saskatchewan Huskies,Lethbridge Pronghorns,W20190106SASLET
2018-2019,5b770b5a11ef0d1103185242,2019-01-06T00:00:00Z,ManitobaBisons@Alberta,Alberta Pandas,Manitoba Bisons,W20190106ALBMAN
2018-2019,5b770b5a11ef0d1103185246,2019-01-06T00:00:00Z,MountRoyal@Calgary,Calgary Dinos,Mount Royal Cougars ,W20190106CALUNK
2018-2019,5b770b5a11ef0d110318524b,2019-01-06T00:00:00Z,Regina@Victoria,Victoria Vikes,Regina (Canada) Cougars,W20190106VICREG
2018-2019,5b770b5a11ef0d1103185250,2019-01-06T00:00:00Z,Winnipeg@TrinityWestern,Trinity Western Spartans,Winnipeg Wesmen,W20190106TWUWIN
2018-2019,5b770b5a11ef0d1103185253,2019-01-06T00:00:00Z,BrandonUni@FraserValley,Fraser Valley Cascades,Brandon University Bobcats,W20190106UFVBRA
2018-2019,5b770b5a11ef0d1103185257,2019-01-06T00:00:00Z,BCOkanagan @BritishColumbia,British Columbia Thunderbirds,British Columbia - Okanagan ,W20190106UBCUNK
2018-2019,5b770b5a11ef0d110318525c,2019-01-06T00:00:00Z,ThompsonRivers@NorthernBC,Northern British Columbia Timberwolves,Thompson Rivers University Wolfpack,W20190106UNBCTRU
2018-2019,5b7aa217aeda719939a3b34f,2019-01-05T23:00:00Z,York(ONT)@Laurentian,Laurentian Voyageurs ,York (ONT) Lions,W20190105UNKYOR
2018-2019,5b7aa217aeda719939a3b353,2019-01-05T23:00:00Z,Lakehead@Guelph,Guelph Gryphons,Lakehead University Thunderwolves,W20190105GUELAK
2018-2019,5b7aab77aeda719939027d5c,2019-01-05T23:00:00Z,Laurier@Windsor,Windsor Lancers,Wilfrid Laurier,W20190105WINWLU
2018-2019,5b7aab77aeda719939027d62,2019-01-05T23:00:00Z,Waterloo@Algoma,Algoma Thunderbirds,Waterloo Warriors,W20190105ALGWAT
2018-2019,5b7aab77aeda719939027d65,2019-01-05T23:00:00Z,QueensOntario@Nipissing,Nipissing Lakers,Queens (ON) University Golden Gaels,W20190105NIPQUE
2018-2019,5b7b788aaeda71993978ac8e,2019-01-05T22:00:00Z,CapeBreton@PrinceEdward,Prince Edward Island Panthers,Cape Breton Capers,W20190105UPEICB
2018-2019,5b7b788aaeda71993978ac95,2019-01-05T22:00:00Z,Dalhousie@Acadia,Acadia Axewomen,Dalhousie Tigers,W20190105ACADAL
2018-2019,5b7b7506aeda71993970b957,2019-01-05T21:30:00Z,NewBrunswick@MemorialCan,Memorial Sea-Hawks,New Brunswick Varsity Reds,W20190105MEMUNB
2018-2019,5b7aa217aeda719939a3b342,2019-01-05T19:00:00Z,UniOttawa@TorontoVarBlues,Toronto Varsity Blues,Ottawa Gee-Gees,W20190105TOROTT
2018-2019,5b7aa217aeda719939a3b34a,2019-01-05T19:00:00Z,CarletonUni@RyersonUni,Ryerson University Rams,Carleton University Ravens,W20190105UNKCAR
