Season,GameID,UTCDate,GameName,Team1_FullName,Team2_FullName,GameID_DB
2022-2023,63f35fb540c90c050fbd508a,2023-02-25T18:00:00Z,NewBrunswick@Acadia,Acadia Axewomen,New Brunswick Varsity Reds,W20230225ACAUNB
2022-2023,63ecf4bd76cb1b2c6cd2ca30,2023-02-25T17:00:00Z,Alberta@Saskatchewan,Saskatchewan Huskies,Alberta Pandas,W20230225SASALB
2022-2023,63f35fb540c90c050fbd4ff5,2023-02-24T23:30:00Z,AUS QF  - CapeBreton@PrinceEdward,Prince Edward Island Panthers,Cape Breton Capers,W20230224UPEICB
2022-2023,63f35fb540c90c050fbd4f6e,2023-02-24T18:00:00Z,AUS QF - MemorialCan@NewBrunswick,New Brunswick Varsity Reds,Memorial Sea-Hawks,W20230224UNBMEM
2022-2023,63ecf4bd76cb1b2c6cd2c93c,2023-02-24T17:00:00Z,Calgary@Regina,Regina (Canada) Cougars,Calgary Dinos,W20230224REGCAL
2022-2023,63315b7ce0927e6968e479c2,2023-02-23T23:00:00Z,QuebecMontreal@Bishops,Bishops Gaiters,University Quebec - Montreal,W20230223BISUQA
2022-2023,63f5127a40c90c050f462d3a,2023-02-22T23:00:00Z,Laurentian@UniOttawa,Ottawa Gee-Gees,Laurentian Voyageurs,W20230222OTTLAU
2022-2023,63f5127a40c90c050f462de5,2023-02-22T23:00:00Z,Brock@Windsor,Windsor Lancers,Brock Badgers,W20230222WINBRO
2022-2023,63f5127a40c90c050f462c54,2023-02-22T23:00:00Z,WesternOntario@TorontoMetro,Toronto Metropolitan University,Western Ontario Mustangs,W20230222TMUWES
2022-2023,63f5127a40c90c050f462e7a,2023-02-22T23:00:00Z,York(ONT)@Guelph,Guelph Gryphons,York (ONT) Lions,W20230222GUEYOR
2022-2023,633313dbcf31008b535d1525,2023-02-19T20:00:00Z,York(ONT)@Algoma,Algoma Thunderbirds,York (ONT) Lions,W20230219ALGYOR
2022-2023,63ecf4bd76cb1b2c6cd2c8e4,2023-02-19T00:00:00Z,TrinityWestern@Regina,Regina (Canada) Cougars,Trinity Western Spartans,W20230219REGTWU
2022-2023,63317c03e0927e6968a53c5c,2023-02-18T23:00:00Z,SaintMary's(CAN)@StFrancisXavier,St. Francis Xavier X-Women,Saint Mary's (CAN) Huskies,W20230218SFXSMU
2022-2023,6333fabccf31008b53d45bd7,2023-02-18T23:00:00Z,OntarioTech@Nipissing,Nipissing Lakers,Ontario Tech,W20230218NIPONT
2022-2023,63316808e0927e69689a3292,2023-02-18T23:00:00Z,Acadia@NewBrunswick,New Brunswick Varsity Reds,Acadia Axewomen,W20230218UNBACA
2022-2023,6333f72dcf31008b53ad3889,2023-02-18T23:00:00Z,TorontoVarBlues@McMaster,McMaster Marauders,Toronto Varsity Blues,W20230218MACTOR
2022-2023,63ecf4bd76cb1b2c6cd2c870,2023-02-18T23:00:00Z,BritishColumbia@Saskatchewan,Saskatchewan Huskies,British Columbia Thunderbirds,W20230218SASUBC
2022-2023,63331078cf31008b53472b0d,2023-02-18T23:00:00Z,Laurier@WesternOntario,Western Ontario Mustangs,Wilfrid Laurier,W20230218WESWLU
2022-2023,63316ce0e0927e6968dd20f4,2023-02-18T23:00:00Z,CapeBreton@Dalhousie,Dalhousie Tigers,Cape Breton Capers,W20230218DALCB
2022-2023,63331e6ecf31008b53b3b87b,2023-02-18T23:00:00Z,CarletonUni@Lakehead,Lakehead University Thunderwolves,Carleton University Ravens,W20230218LAKCAR
2022-2023,6333ef00cf31008b535c9de8,2023-02-18T21:00:00Z,Guelph@Windsor,Windsor Lancers,Guelph Gryphons,W20230218WINGUE
2022-2023,633319d1cf31008b538bff41,2023-02-18T21:00:00Z,QueensOntario@Laurentian,Laurentian Voyageurs,Queens (ON) University Golden Gaels,W20230218LAUQUE
2022-2023,633321f5cf31008b53cfd02b,2023-02-18T19:00:00Z,Brock@TorontoMetro,Toronto Metropolitan University,Brock Badgers,W20230218TMUBRO
2022-2023,63301a2ce0927e6968f92c41,2023-02-18T19:00:00Z,Concordia(QUE)@McGill,McGill University Martlets,Concordia (QUE) Stingers,W20230218MCGCON
2022-2023,63ecf4bd76cb1b2c6cd2c7f6,2023-02-18T18:00:00Z,Winnipeg@Calgary,Calgary Dinos,Winnipeg Wesmen,W20230218CALWIN
2022-2023,63ecf4bd76cb1b2c6cd2c755,2023-02-18T17:00:00Z,FraserValley@Alberta,Alberta Pandas,Fraser Valley Cascades,W20230218ALBUFV
2022-2023,6331774fe0927e69686a5e6e,2023-02-18T17:00:00Z,PrinceEdward@MemorialCan,Memorial Sea-Hawks,Prince Edward Island Panthers,W20230218MEMUPEI
2022-2023,63ecf38f76cb1b2c6cc05d49,2023-02-18T00:00:00Z,Victoria@TrinityWestern,Trinity Western Spartans,Victoria Vikes,W20230218TWUVIC
2022-2023,6333233ccf31008b53dbdc39,2023-02-17T23:00:00Z,TorontoMetro@Brock,Brock Badgers,Toronto Metropolitan University,W20230217BROTMU
2022-2023,6331774ee0927e69686a46c4,2023-02-17T23:00:00Z,PrinceEdward@MemorialCan,Memorial Sea-Hawks,Prince Edward Island Panthers,W20230217MEMUPEI
2022-2023,63ecf38f76cb1b2c6cc05cfa,2023-02-17T23:00:00Z,BCOkanagan@BritishColumbia,British Columbia Thunderbirds,British Columbia - Okanagan,W20230217UBCUBCO
